"Parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS","Temp","TL"
"r",0.0463114839333907,5.64045966485227e-05,0.00542762528045708,0.0365943410149369,0.0424685549627061,0.046028789687447,0.0498102044869614,0.0576770094107772,9240,1.00054453916227,1,0.0379559432397469,0.046028789687447,0.0556997375124563,9.14258329547911e-05,7.73980937842506e-05,7.07910802864239e-05,7.44619278455171e-05,0.000156262832954904,3.98853290367076e-05,9112,11207,14,2
"Q",3.31851587630087e-07,1.60653506453815e-09,1.70973857129479e-07,5.29003354241279e-08,2.02403510432272e-07,3.15616177828961e-07,4.45088468304124e-07,7.02269502222282e-07,11302,1.00007762395839,1,7.8200038662158e-08,3.15616177828961e-07,6.39716127972963e-07,1.72910541636076e-09,2.0013597602077e-09,1.83252764356718e-09,1.84717648868746e-09,3.77571578760429e-09,1.13602109371898e-09,10354,8851,14,2
"a1",0.207528638477924,0.00101113231036086,0.0870563139786026,0.0588062824884314,0.143905098755739,0.199797980719787,0.263889675870153,0.394585966266546,7458,1.00013367159459,1,0.0780394928396562,0.199797980719787,0.360227171460365,0.00183810092931623,0.00107576482623796,0.0009439066518796,0.00117422674376561,0.00235576724716291,0.00071500664555111,6573,5485,14,2
"e1",0.000554932844945051,1.96767705592119e-06,0.000193913842962022,0.000210541758546689,0.000414548280303948,0.000544760871008205,0.000685135288834597,0.000955972868444873,9674,0.999933932107977,1,0.000254280355057536,0.000544760871008205,0.000886406420473791,3.81057290483464e-06,2.70864944514092e-06,2.57345777614643e-06,2.442806806889e-06,2.99474101111107e-06,1.39139958329385e-06,9101,8476,14,2
"d1",2.45803566704659,0.00527967602970564,0.562605946889611,1.36812764852158,2.07637113642916,2.44843540787468,2.83755255198588,3.57676105407469,11320,1.00011856017154,1,1.54304598339243,2.44843540787468,3.40377016280651,0.015587164773187,0.00735199296096445,0.0054791971461452,0.0059103346026137,0.0127198909326374,0.00373339063578062,11244,8534,14,2
"h1",0.000190441452239735,6.93327983970347e-07,6.4223242214155e-05,7.47466926803926e-05,0.000144650314925399,0.000187585959362519,0.000232814909982859,0.000324483713317611,8552,1.00008358789455,1,9.01491015908147e-05,0.000187585959362519,0.00030063984252786,9.85941530641102e-07,9.22830986450619e-07,8.19363193286135e-07,8.85066572420064e-07,1.54529634236508e-06,4.90273586858833e-07,8072,7620,14,2
"w1",2.55434988640938,0.00247384464065484,0.314268092334077,1.95825913336951,2.33690712127292,2.54808315350595,2.76410733001715,3.18662464115656,16114,1.00016341677791,1,2.05266605690068,2.54808315350595,3.07618842634862,0.00692895369716129,0.00360704680568746,0.00328567045692862,0.003234828717674,0.00840387367223339,0.00174930396000538,15972,13311,14,2
"B",0.0201721855209893,0.00010956802279772,0.0137310292430203,0.00103746421389577,0.00931400058847793,0.0181134522416001,0.0286836580806241,0.0521068351884176,15647,1.00048218622977,1,0.00202347789980801,0.0181134522416001,0.0456911332330292,7.81437579791068e-05,0.00014498749261441,0.000153976741006716,0.000155782384904685,0.000409832496563355,7.74777298717014e-05,11531,7375,14,2
"N1_0[1]",256443.628030107,365.786449142947,29290.9051287239,201532.622218808,236394.581457156,255116.007164642,275407.034837819,316130.905692015,6364,1.00020778253112,1,210192.812125249,255116.007164642,306222.644593069,634.739590905301,406.715192598305,400.779571062405,389.62697343828,1021.13354934257,258.661844913849,6410,5165,14,2
"N1_0[2]",242367.985256354,257.259337747592,21907.6642643211,201959.695927049,227246.35121987,241503.476118424,256301.719107839,288931.968547449,7222,1.00049025324236,1,208207.844328762,241503.476118424,280343.275334536,468.377279840453,269.141963357732,269.489346371818,310.449593150421,1544.30620878696,186.579242634414,7562,4896,14,2
