Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.046311483933390685,5.6404596648522666e-5,0.005427625280457078,0.0365943410149369,0.04246855496270608,0.046028789687446975,0.04981020448696135,0.05767700941077724,9240,1.0005445391622731,1,0.03795594323974689,0.046028789687446975,0.055699737512456264,9.142583295479109e-5,7.739809378425055e-5,7.079108028642395e-5,7.446192784551706e-5,1.5626283295490373e-4,3.988532903670756e-5,9112,11207
Q,3.318515876300868e-7,1.6065350645381484e-9,1.7097385712947906e-7,5.290033542412789e-8,2.0240351043227182e-7,3.1561617782896115e-7,4.450884683041241e-7,7.022695022222818e-7,11302,1.0000776239583882,1,7.820003866215798e-8,3.1561617782896115e-7,6.397161279729635e-7,1.7291054163607646e-9,2.0013597602077005e-9,1.8325276435671816e-9,1.8471764886874597e-9,3.775715787604287e-9,1.1360210937189774e-9,10354,8851
a1,0.20752863847792405,0.0010111323103608567,0.08705631397860264,0.05880628248843143,0.14390509875573923,0.19979798071978694,0.26388967587015255,0.3945859662665463,7458,1.0001336715945948,1,0.0780394928396562,0.19979798071978694,0.3602271714603651,0.0018381009293162304,0.0010757648262379599,9.439066518796002e-4,0.001174226743765605,0.00235576724716291,7.150066455511104e-4,6573,5485
e1,5.549328449450515e-4,1.9676770559211946e-6,1.939138429620216e-4,2.1054175854668915e-4,4.1454828030394785e-4,5.447608710082052e-4,6.851352888345972e-4,9.559728684448734e-4,9674,0.9999339321079773,1,2.542803550575364e-4,5.447608710082052e-4,8.86406420473791e-4,3.8105729048346353e-6,2.7086494451409237e-6,2.5734577761464344e-6,2.4428068068889992e-06,2.9947410111110656e-6,1.3913995832938497e-6,9101,8476
d1,2.4580356670465875,0.005279676029705644,0.5626059468896111,1.3681276485215832,2.0763711364291626,2.4484354078746833,2.8375525519858753,3.57676105407469,11320,1.0001185601715405,1,1.5430459833924335,2.4484354078746833,3.403770162806506,0.015587164773187001,0.0073519929609644485,0.005479197146145198,0.005910334602613698,0.012719890932637368,0.003733390635780618,11244,8534
h1,1.9044145223973501e-4,6.93327983970347e-7,6.422324221415502e-5,7.474669268039257e-5,1.446503149253988e-4,1.875859593625185e-4,2.3281490998285854e-4,3.2448371331761106e-4,8552,1.0000835878945513,1,9.014910159081467e-5,1.875859593625185e-4,3.0063984252786004e-4,9.859415306411021e-7,9.228309864506192e-7,8.193631932861353e-7,8.850665724200645e-7,1.5452963423650753e-6,4.90273586858833e-7,8072,7620
w1,2.5543498864093834,0.002473844640654841,0.3142680923340773,1.9582591333695127,2.3369071212729153,2.5480831535059547,2.7641073300171524,3.1866246411565555,16114,1.000163416777911,1,2.052666056900682,2.5480831535059547,3.0761884263486237,0.006928953697161289,0.003607046805687464,0.0032856704569286244,0.0032348287176739987,0.008403873672233386,0.0017493039600053788,15972,13311
B,0.02017218552098927,1.0956802279771998e-4,0.013731029243020306,0.0010374642138957697,0.009314000588477925,0.01811345224160011,0.02868365808062409,0.052106835188417563,15647,1.000482186229771,1,0.002023477899808006,0.01811345224160011,0.045691133233029216,7.814375797910675e-5,1.4498749261441027e-4,1.5397674100671617e-4,1.5578238490468466e-4,4.0983249656335527e-4,7.74777298717014e-5,11531,7375
N1_0[1],256443.62803010747,365.7864491429466,29290.90512872389,201532.6222188077,236394.58145715616,255116.00716464204,275407.0348378189,316130.9056920155,6364,1.0002077825311209,1,210192.81212524904,255116.00716464204,306222.64459306863,634.7395909053012,406.7151925983053,400.779571062405,389.6269734382804,1021.1335493425722,258.66184491384894,6410,5165
N1_0[2],242367.9852563538,257.2593377475917,21907.66426432105,201959.6959270492,227246.35121986968,241503.47611842363,256301.7191078387,288931.968547449,7222,1.0004902532423583,1,208207.84432876235,241503.47611842363,280343.2753345364,468.3772798404534,269.1419633577316,269.4893463718181,310.4495931504207,1544.306208786962,186.57924263441416,7562,4896
