Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.20489609249886448,0.0010473087770984618,0.037818075810052636,0.13132921969426614,0.1806176854992095,0.2032765428132811,0.2278228272835593,0.2847750720449974,1284,1.0008333510298304,1,0.1444821170856859,0.2032765428132811,0.26950296383087946,0.0035091575095693717,0.0011264988128940334,7.842272727781041e-4,7.646333000742023e-4,0.001669871955363722,7.407248536685161e-4,1273,790
Q,1.7863760526941533e-7,3.0550519568282555e-9,8.760230010526593e-8,4.221053079196305e-8,1.1375147833751213e-7,1.6702116819236579e-7,2.3056373290006124e-7,3.8216282777873304e-7,844,1.0027319198077913,1,5.668197305529291e-8,1.6702116819236579e-7,3.4176160670538687e-7,1.7649319909067781e-9,1.570290778407615e-9,2.25074209573152e-9,4.379781788554378e-9,9.145641647716317e-9,2.378446935773094e-9,978,1033
a1,0.47605651390652653,0.008156010265481213,0.24871583891649823,0.0019681899920651843,0.32475693600365835,0.44831142810769664,0.6103911876204062,1.0476690332052259,921,1.0011757876243896,1,0.007813596542417527,0.44831142810769664,0.9296013090208026,5.650622762797552e-4,0.006414128378846362,0.004571210726015823,0.004246335979213145,0.012169063352162501,0.005768979965702385,870,287
e1,2.9351271924787974e-4,6.881774464873756e-5,0.001284578231352104,6.933683725396636e-6,1.2706390277114913e-5,1.7757763058890515e-5,2.5281637786699685e-5,0.00513330098976451,346,1.0014233111304405,1,7.937413423874188e-6,1.7757763058890515e-5,0.0014373974502404586,8.452369022428835e-8,9.690191447849975e-8,2.0003094426892302e-7,6.126914205950524e-7,0.0010090791417008904,4.870228563626017e-5,817,290
d1,2.0911365075799826,0.006909673209117052,0.5383853044728086,1.152733193049585,1.688564634653055,2.05377829371494,2.4567630903087845,3.2123261099570013,6069,1.0001855276750913,1,1.2722946612638422,2.05377829371494,3.0616262417201634,0.007803571016958721,0.006121118006122472,0.008120397161071491,0.010049819322885067,0.025525953075713925,0.005390928934219221,5863,3511
h1,1.9847698161069455e-5,4.461561684545404e-6,9.7712829311171e-5,7.242947413220627e-8,7.242505391439865e-7,1.536220136249539e-6,2.711312025603163e-6,2.858163125702016e-4,477,1.0010706358551729,1,1.4388202286917284e-7,1.536220136249539e-6,4.704076960478602e-5,4.06584066163834e-9,1.4234407529234114e-8,3.2623921050915964e-8,8.63369643138081e-8,8.761297874107677e-5,3.1567208686635255e-6,887,312
w1,1.5791234470093438,0.019895284635179047,0.7030910131392806,0.5778846542961255,1.0358727647015806,1.4514502272461087,2.012387143987371,3.2229674276577445,1263,1.0024740016647173,1,0.6564393069114645,1.4514502272461087,2.9362186290091024,0.006612579486808212,0.01020151950242465,0.020843221473102136,0.024946105433453214,0.04598473848803786,0.014757806084731482,1422,2456
B,0.10443188218744108,3.080460253603961e-4,0.019410167715460825,0.07289385916542972,0.09080361401817641,0.10217765284963995,0.11547458056990237,0.14918015586387975,3983,1.0009144887028272,1,0.0768574593108665,0.10217765284963995,0.14025667571804026,3.6792956901934154e-4,2.508607982577224e-4,2.9249231194461434e-4,3.7106581384374615e-4,0.0016720040410456022,2.3352879111838227e-4,4732,3665
N1_0[1],283764.1493134026,1018.9452953526564,68105.5907746575,159951.7454989994,234899.9029622407,281452.45691209217,328789.98967231717,422199.3506848186,4484,1.0016946462140517,1,177772.13691339584,281452.45691209217,400872.91933597904,2059.0976525686856,1165.720646505899,1302.9570451559557,1378.9641015071247,1766.463380092464,720.5501727229314,4410,6428
N1_0[2],239661.47181770657,744.2764697814622,59136.698587628336,131899.37663300504,198767.28724197607,236368.41459639277,277440.9671207698,364491.1060468498,6301,1.0007137352873057,1,147539.8618463917,236368.41459639277,341973.9328961948,1504.3016268949286,902.5389048571233,915.8888297522353,867.2616596301086,1742.8941125696292,526.3072544874215,6041,6506
