Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.05118691409320488,4.46291390138117e-5,0.004269614113976175,0.04295224133319145,0.04827474946247591,0.05113022778732346,0.05402976445828108,0.05973932143667644,9137,1.000166913338604,1,0.044213082137842585,0.05113022778732346,0.05835785751638676,7.812721136331302e-5,6.300937691049516e-5,4.982793075189451e-5,6.517477768846688e-5,9.762025205872771e-5,3.155857264871368e-5,9053,7868
Q,3.039563031021612e-7,9.70679170842255e-10,9.075030043038574e-8,1.1861305633365869e-7,2.4530992739879006e-7,3.0717966345896774e-7,3.6605235448206116e-7,4.744779895043864e-7,8728,1.0002874201964778,1,1.488242848801845e-7,3.0717966345896774e-7,4.4887103503100666e-7,3.880577095896485e-9,1.3502001552650896e-9,8.86986750154006e-10,9.118650286781419e-10,1.8085451293703633e-9,6.863967316647734e-10,9014,5494
a1,8.206527817691198,0.016168793918360687,2.0566883662283972,4.384381265845599,6.761453585701091,8.157636549971851,9.579970991795342,12.374527879319142,16147,1.0000426432869822,1,4.92042180823545,8.157636549971851,11.632990493501236,0.039590440522248915,0.02430144297346981,0.020760436400935944,0.022919722194047587,0.04524514573159699,0.011433269914004517,15397,8095
h1,2.0988315091737076e-4,1.3828956592227201e-8,1.1198511483404616e-6,2.076621749927203e-4,2.0913061797266623e-4,2.0989948876021897e-4,2.1066883627955427e-4,2.1199875225977267e-4,6567,1.000115290953301,1,2.0798852738574373e-4,2.0989948876021897e-4,2.1166774376941898e-4,2.614831571736288e-8,1.490326785386824e-8,1.5438510895691634e-8,1.8922525769682124e-8,2.6094019227329308e-8,9.780463451399426e-9,6556,9092
w1,2.5358961648934244,0.0024267034503178296,0.31611289852398733,1.9177475884972839,2.321189896908446,2.5367355888178222,2.7470571656841294,3.1572405735966886,16925,0.9998882006524514,1,2.020522842971835,2.5367355888178222,3.0599836753019662,0.01025203676844344,0.004177044239636718,0.0028136514618672948,0.00338935173179733,0.006921168798840416,0.0017159679368671402,17067,9265
a2,17.7677465619822,0.04105718973695426,3.2986006954390983,11.905023786531192,15.411355208870784,17.55443128210296,19.94964602435647,24.71904753319015,6472,1.000387662708302,1,12.72377259511395,17.55443128210296,23.55869864834107,0.0786416905468954,0.05392244686831482,0.05069078487488632,0.0599911641813442,0.11528832568224345,0.029033129189360567,6367,8474
e2,0.07653918407715093,9.967229796124683e-5,0.009157998745629982,0.060249976514325065,0.0700331458350317,0.07600522769143819,0.08227704521527451,0.09628201009201728,8459,1.0003067218759636,1,0.06241924800306213,0.07600522769143819,0.09239731496478674,1.9205232541239306e-4,1.1578119906537065e-4,1.299982756966453e-4,1.5494527110695988e-4,3.0182453311061036e-4,7.054497905413062e-5,8470,9713
d2,0.044606631882231566,6.56373100123371e-5,0.005541977710280551,0.03400668438259055,0.04082066148694123,0.04450171903243688,0.04826514190684508,0.05550978166874277,7113,1.0007348573599717,1,0.03558893790101053,0.04450171903243688,0.05395151455759172,1.4248691130793606e-4,8.40083558748643e-5,8.869415034300915e-5,7.215554959687231e-5,1.5831489377806165e-4,4.6414485886553255e-5,7078,8265
h2,0.2553522494704558,3.5672519781110843e-4,0.036579564988179714,0.18221562375433406,0.23156390943779648,0.25581049891364627,0.2803450606537926,0.32593357052485156,10490,0.9999160635850736,1,0.1944289188661455,0.25581049891364627,0.31424516484019144,0.0010275689908597757,4.7864910457277865e-4,4.5181314014450247e-4,4.3648416775279864e-4,9.736398882587427e-4,2.522498039820103e-4,10575,9451
w2,15.656464495657058,0.060011779980020434,6.714458278677108,3.1435137160884272,10.882015038105216,15.483258347460318,20.188419989366352,29.20636953338168,12483,1.0005394360165352,1,4.756690964978153,15.483258347460318,26.97873132787559,0.16409877506502046,0.09586820210887304,0.07777202570631125,0.07903209612656603,0.15564854618688706,0.04243572508224909,11314,5756
N1_0[1],180820.63276437658,205.38275536418845,23775.992815155678,136796.17027090793,164539.71210324467,180201.9254119704,196157.88503317675,229852.02704180073,13386,1.0003829794896337,1,143129.91056537596,180201.9254119704,221168.6373374841,549.7600069764158,292.31655843045155,249.3449980061705,309.8364137696044,875.961820616445,145.2307003477712,13320,10763
N1_0[2],291540.8015701394,250.67557934254614,29479.45544903251,237520.9901391777,271072.9563121138,290717.067267932,310411.54234787007,352557.8431002456,13830,1.0001126894248238,1,245261.815053259,290717.067267932,341372.76032322925,782.6066413246299,295.74652232884546,348.7288228010002,351.16969742209767,938.1215439658554,178.08051624100685,13866,11471
N1_0[3],217853.62541764198,218.2094103966202,25643.41498573054,170970.3173268184,200136.14078398584,216862.19552962016,234375.7311846392,272176.6647645458,13804,0.9999181592162492,1,178044.0258977861,216862.19552962016,261887.1457695346,492.15112101184786,255.67068241539528,253.9148500959418,288.0387226018356,1080.694912328443,154.69468521435851,13789,11313
N1_0[4],148840.62874477098,189.54045252616925,21571.419006562057,109613.42714650274,133794.42664317484,147873.663596879,162557.5352579685,194173.82037480085,12954,1.0001150107848882,1,115051.41223411105,147873.663596879,186635.17099718715,508.50612035847007,232.08790583080554,250.34102112385153,302.10375266680785,674.0051451971958,134.0283583879153,12832,11541
N1_0[5],211523.45092071514,48.23981852509983,6483.312428400618,198746.54605451907,207167.04229907578,211543.09876143234,215933.02290967264,224169.64375757973,18007,1.000600840776407,1,200886.14368078072,211543.09876143234,222082.33713569184,151.13731652479328,84.92521553508413,55.82802813775197,73.23580801558273,166.54347270927974,34.111253119244125,18077,11090
N2_0[1],0.019465140929183593,4.171262702281095e-5,0.003186311089156694,0.01371654339113582,0.017231586592125522,0.019305634358187142,0.021514143624470506,0.026115871880275882,5836,1.000294118087386,1,0.014528315647730196,0.019305634358187142,0.0249426580890081,8.414321641776919e-5,4.815515035048144e-5,4.1257089656528134e-5,4.985966615404097e-5,7.696198633551192e-5,2.9496755847527193e-5,5669,6670
N2_0[2],0.03036540552859588,4.4625421220170045e-5,0.00342816598635093,0.023822268203068948,0.028034083055697125,0.03030650479652408,0.03258091741365311,0.03730196431184061,5867,1.0005125125836427,1,0.024875571176731545,0.03030650479652408,0.03615936796685502,1.2523010781999126e-4,5.314178161023968e-5,4.521990267363635e-5,5.413003984740608e-5,8.059250508296589e-5,3.155649767965011e-5,5829,7636
N2_0[3],0.044294864497500044,5.2236785062000406e-5,0.004223922625798768,0.03628397169718276,0.041380373671084825,0.044186555895034646,0.047032887526040824,0.052915639082548656,6457,1.0002838842809316,1,0.037544713124405764,0.044186555895034646,0.05147476961655403,1.1914660667342383e-4,6.131095662791075e-5,4.764239220532429e-5,6.310881646436756e-5,1.1451205629645078e-4,3.693863274340524e-5,6424,8633
N2_0[4],0.0448886614503463,5.679743743577221e-5,0.0044802855642793946,0.03649186717401385,0.04180785419701188,0.04478704667334152,0.04783368643648094,0.054023203341901464,6207,1.0002515694728658,1,0.037749742161194304,0.04478704667334152,0.052419642790425124,1.0138605535459089e-4,6.875225323194067e-5,6.706782867343941e-5,6.857284643061248e-5,1.490107844029226e-4,4.016373582145349e-5,6135,8284
N2_0[5],0.022497497435702358,4.282514757116298e-5,0.0033345002230838728,0.016288925707874744,0.020191495846961442,0.022348724779708496,0.02467731931325027,0.029358019111334538,6036,1.0004203714640267,1,0.01722134188800775,0.022348724779708496,0.028175444041262807,7.604668513569099e-5,5.747099872853434e-5,5.109880738905434e-5,5.51422253441923e-5,7.987627263392541e-5,3.0283409181953248e-5,5920,7429
N3_0[1],0.007993729754431052,3.846295856873403e-6,4.247026561720723e-4,0.007189882365397028,0.00770421072146571,0.007981371255047658,0.008270916644163196,0.008863339449678917,12184,1.0001029324634223,1,0.007322788039343879,0.007981371255047658,0.008710986684287483,8.672892257220299e-6,4.265700841201304e-6,5.561359689825948e-6,5.647142116265054e-6,1.2929675700807872e-5,2.7234556179549823e-6,12214,11439
