Parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
r,0.06815541408518193,1.2584050877893343e-4,0.006074307595883002,0.056479158731265085,0.06402884088626372,0.06802509766117854,0.07210556414647379,0.08065329040672073,2326,1.0008703954746512,1,0.05819857493702433,0.06802509766117854,0.07833143870016279,1.6789677345882895e-4,1.2954981956375677e-4,1.4455463558165488e-4,1.6814625055097676e-4,3.1463639871791294e-4,8.899381833014274e-5,2329,3231
Q,1.2341715264981186e-7,3.0446603320339866e-10,1.7465805484911086e-8,8.927587318594255e-8,1.1179155793398001e-7,1.2337849164128215e-7,1.3517205253248503e-7,1.5727088605027597e-7,3297,1.0003610339345923,1,9.487771247950014e-8,1.2337849164128215e-7,1.5230155210805816e-7,9.124017525000475e-10,4.5331347174193846e-10,3.1699966846474205e-10,3.7918326482127263e-10,5.600751238433179e-10,2.1530908104712906e-10,3277,3429
a1,7.4693072846178055,0.03401401098128652,2.2729478476513107,3.494860224715636,5.830862259709142,7.310219393733119,8.919151710902554,12.302756162894772,4477,1.0002035371164069,1,4.029946679547528,7.310219393733119,11.512454318786705,0.07173727569817334,0.05162339992292608,0.04087813268264506,0.046542420785954164,0.10256285976883817,0.02405310893590241,4010,3014
h1,1.9132175264585396e-5,1.1778324952279971e-8,3.758213718410185e-7,1.8368126634551553e-5,1.8885545057647477e-5,1.9145182318705713e-5,1.939674951194339e-5,1.9832302692098938e-5,1019,1.0021145675733896,1,1.8495150211804765e-5,1.9145182318705713e-5,1.9716433453401517e-5,2.1308926932953103e-8,1.2608554843433905e-8,1.1771104350130214e-8,1.172950650540711e-8,2.2184476422067612e-8,8.331328204824565e-9,1015,2322
w1,1.9240236852900967,0.003630920502186991,0.29121516093902894,1.3654861223771082,1.7286559246618187,1.9210867557627926,2.120970567997154,2.4826117471981752,6413,1.0004978862440321,1,1.4495597701146608,1.9210867557627926,2.4096583818688653,0.013254343376110422,0.005484596921774054,0.00509012744789239,0.004608000690612624,0.010282449792060833,0.0025675649309341644,6472,3567
a2,16.787373829972825,0.10913607329359937,4.024150621659607,9.392443171172944,13.939438163891463,16.671561759536097,19.49998703711909,24.927955471187104,1350,1.0008942696540866,1,10.313713139949911,16.671561759536097,23.54833073948604,0.10622612951210986,0.1273962229803942,0.13560704271798052,0.1520413840727901,0.22336699534219306,0.07718741852239794,1361,2133
e2,0.07371552672182186,2.596166142902486e-4,0.0125892205088424,0.051713754832929115,0.06484589747868962,0.0726298468978347,0.08137260968094451,0.1012967685896665,2351,1.001672554510143,1,0.05488181017282394,0.0726298468978347,0.09641087289815926,3.3314075462214515e-4,2.2928362838283561e-4,2.610615135367686e-4,3.335592460085163e-4,6.816856208133673e-4,1.8383419730186535e-4,2376,3446
d2,0.046139180236022974,1.1742998532480898e-4,0.0072129399477221775,0.03163111931104935,0.041465634832415804,0.04616134148694843,0.05100674302114248,0.060281338977305934,3749,1.000154875694875,1,0.034113836120609954,0.04616134148694843,0.057841939712305536,3.4871929848105665e-4,1.5984024532963645e-4,1.392926519842401e-4,1.409019628206866e-4,2.2358740074164898e-4,8.304195897479269e-5,3830,3166
h2,0.23784164991992068,7.358593186485058e-4,0.04422472837580371,0.15356859409823623,0.2086235189400614,0.23671747664981785,0.2669244463386454,0.32599545503394706,3592,1.0003782501100307,1,0.1654067270982424,0.23671747664981785,0.3118249666842735,0.0013721716553433683,9.8273703881549e-4,7.359427696120024e-4,7.38137300570707e-4,0.0013427540071474786,5.203731374296833e-4,3571,3562
w2,22.40635944409104,0.11884798692601865,7.876720925654623,6.806663211011242,17.12305379556766,22.345207987455908,27.63333205398832,38.16978501510409,4304,1.0008076836524378,1,9.469512775092621,22.345207987455908,35.6826611510233,0.38300202887919754,0.17656688349049077,0.11123680318140572,0.13962615754673635,0.3029830893173546,0.08404379846242113,4253,2339
N1_0[1],255226.79511298856,558.2706913140878,27687.795063300073,202647.0380906126,236088.74590916414,254696.11488509778,273579.16081321327,310893.38065360533,2460,1.0000994991546108,1,210507.33333403143,254696.11488509778,301297.0939465364,1069.2036287144147,733.3272887651401,578.1372842469573,611.0548512213863,1343.091844837123,394.8038099254049,2451,3283
N1_0[2],288417.72955116205,518.5636373082049,30256.60165136689,231240.5452129304,267741.39632406546,287964.07788511517,308617.15219893423,349211.0979619769,3413,1.000163666120002,1,240178.4524524582,287964.07788511517,338732.4543307292,1777.9402207386593,755.8927217532764,608.9680267396907,650.066369650769,1636.7328099743172,366.71128382827516,3372,3925
N1_0[3],248756.65526423906,504.72438969195986,29633.165210729392,194107.63110415865,227873.42186282034,247682.67141546606,268400.815476557,309651.0461912519,3444,1.0003865038554887,1,201958.44572597824,247682.67141546606,299125.2317118085,1160.29577940522,640.22100204874,544.0343310651224,615.0228651077487,1396.8142321594933,356.92424095480254,3404,3701
N1_0[4],351631.6239930088,546.0914537090655,35506.5765688396,281411.67667258176,327615.8621392469,351548.2598523472,375079.6406784393,421999.0485735913,4217,1.0001295834688093,1,292834.17085792596,351548.2598523472,410112.83972586493,1376.4172161380993,754.9997019652801,654.2493917368993,754.4321750790114,1490.97064510762,386.1716140437878,4205,3871
N1_0[5],363728.0977914179,79.50646776714501,6587.2736706391215,350996.1135316186,359184.3844081708,363701.6748137606,368290.29768417246,376579.2218557077,6860,1.0006936809736657,1,352900.235770638,363701.6748137606,374615.1773927441,326.8146613855788,131.83740119475988,87.9237490449159,127.11129956669174,181.70845609228127,56.221951280243964,6868,4444
N2_0[1],0.12405464661167385,9.196145326035405e-4,0.0297626404132035,0.07067893789598732,0.10333928319353936,0.12166895209474327,0.14244810439818756,0.1879512978733027,1024,1.0034654332893265,1,0.07897849664739152,0.12166895209474327,0.1764082418357964,0.0014580036894760937,0.0010745955089723619,9.771362801768019e-4,0.001033919365689695,0.001916899184504578,6.504468279787182e-4,1010,1682
N2_0[2],0.07800729214554845,5.106035253396927e-4,0.017286150304023525,0.04730570419444756,0.06574064625870807,0.07693876061057921,0.08857249969919082,0.11475675862573383,1113,1.0026699661276335,1,0.05187250255649773,0.07693876061057921,0.10789478949748807,7.947829630829788e-4,5.848813100143638e-4,5.121679039305702e-4,6.330684990010563e-4,9.569068825162827e-4,3.6114313634017826e-4,1100,1649
