Iteration,r,Q,a1,h1,w1,a2,e2,d2,h2,w2,N1_0.1,N1_0.2,N1_0.3,N1_0.4,N1_0.5,N2_0.1,N2_0.2,N2_0.3,N2_0.4,N2_0.5,N3_0.1,N3_0.2,N3_0.3,N3_0.4,N3_0.5
1,0.08200229167379693,3.0225105804862406e-7,8.55446105064543,2.057166252400198e-5,0.8726064620685171,12.064220258579512,0.10709511721144065,0.04087591116599247,0.12274283934712231,19.534286575135464,284476.4392563644,234086.71560618508,695293.9202496965,354767.4957316037,418143.89577805105,0.047635422994590525,0.08370885047968865,0.05359538899547941,0.024744491879545815,0.0837790060165796,0.004920531150972616,0.00938658346037313,0.005472694672277505,0.008395700545943966,0.0036748975133304943
2,0.07875003631813857,3.3264919054509315e-7,7.672567204196821,1.987362153498238e-5,0.9772560798656904,16.46876269207566,0.08842293538108965,0.03075077468511747,0.023724923733008784,36.30221523995552,265649.4141820924,105451.20447485875,539419.8538536959,104921.68533758224,409581.8177722772,0.02238901303950277,0.09640367328325831,0.023247082230306443,0.021363017702775808,0.04087373554468887,0.0056910233345712925,0.004269142284517387,0.004859016246849773,0.00851140111300462,0.004734177747396666
3,0.07018689564538634,3.2745090476707355e-7,7.060626581806516,1.9625795876712254e-5,0.14054316961736832,25.543632483939934,0.08894592283222295,0.03554110257340234,0.21144055964247802,31.468149676809976,241828.17805118894,166383.39487153845,674838.9082921398,392090.87886863056,422346.29212862626,0.02060788031066173,0.047343742379527654,0.02216119738849149,0.00882051623107998,0.03559328798050194,0.004604260021342046,0.007846512697535425,0.005626587684755032,0.008712957350934566,0.005144231400451977
4,0.08631705545869511,2.817354589511164e-7,8.292748965248803,2.0258721103570873e-5,0.9405757289445728,19.833907405739005,0.09012053268702651,0.03224521071247,0.2568564603823107,24.735080389635417,224037.818393513,241806.91542119157,494041.32220385945,334771.89403809706,416003.7999137251,0.026298641419734547,0.04765804264789385,0.04440286237227245,0.021982058423657174,0.06363445339336643,0.004011246284273751,0.00744398287530947,0.005011856932939261,0.008633910457054854,0.0040760618984440914
5,0.07699540132743318,2.8358619835684925e-7,6.219019296390365,1.9702699799049135e-5,0.824481775642391,21.6281696190998,0.09378836048267025,0.02560004183038408,0.18815757859072554,23.47381344005156,313406.3745562406,191464.45145940193,551826.2819841581,392086.2687721516,413953.59910500405,0.01965950883420817,0.04575720778347977,0.019664792207885366,0.006368177615114087,0.029732103758218803,0.004638887970095548,0.007476148161191218,0.004859673065881981,0.008543146241595807,0.004490613351820969
6,0.08901017938799761,3.3494570212049027e-7,5.591013775127715,2.0324718660138873e-5,1.9701679029987844,10.027026873354481,0.10729470301617855,0.03902892344661896,0.07179234578625124,4.439665530701679,192620.66920038313,238566.4551682363,689295.629282585,162365.129214003,412577.66757027054,0.052082805034186434,0.07245117421317347,0.0460173177747447,0.029256553984580706,0.06936934836783519,0.005282324569468356,0.007681666478932438,0.0049987316764981814,0.008114374331506356,0.0046785733110053475
7,0.06479681741196741,2.718449950594386e-7,1.419135355745492,1.9233654379525397e-5,0.01779302264220241,14.414159879248512,0.10455252451100565,0.03586062139020433,0.13248827442426536,18.590031264862912,351380.61090475577,257414.37983607574,457990.04780263454,243645.83167440788,416598.4156099054,0.032438005364227036,0.12182085614870244,0.026636014286637512,0.038505738490988914,0.04650063355678011,0.0051340139111617535,0.005656430174235906,0.004939020738602542,0.007124876842996429,0.004394608790400112
8,0.07659387623521521,2.7223274008472996e-7,5.006361262714877,1.9943352408488657e-5,1.2233090926172525,19.269108483829555,0.10000518974542459,0.03373711302447419,0.1646558667835533,37.82495528854433,192367.31869994494,133653.09398904003,623393.844637032,278198.9650917828,409716.1363477282,0.03531189849181679,0.09753913831480893,0.031515232313875076,0.015332973895048308,0.05044425584695333,0.0035011107914199708,0.005848192697252145,0.005039014016092007,0.008999527107943496,0.003997578374858172
9,0.08752775075957323,2.761371255552557e-7,11.83255734820162,2.011487167678369e-5,0.8694332234449355,17.303493621307314,0.08631579510844128,0.020260975681528542,0.1395982604300533,20.88688203818556,264488.5353026187,192307.33388110212,353378.7262077775,342402.724522999,417981.3269990401,0.02464114503702725,0.052203222865274505,0.030561288615914225,0.009944225038299306,0.04507207602465745,0.004953726520094022,0.008238746077502811,0.005337144508492765,0.007578356514995218,0.0039835567843805085
10,0.05277752801255783,2.2240233209084386e-7,6.588420387033102,2.023567439343486e-5,1.8271602734170003,13.523181531236059,0.12143352255944151,0.04497470268127122,0.16555799654084108,17.78926299231739,366620.0006540911,286322.4301281326,625325.2898308052,289884.0441016399,407850.4564382189,0.03248677773710483,0.040797824691633795,0.028888590822986608,0.01952538573167944,0.05758149167904148,0.005563865442308027,0.00833392377829163,0.0048666819992185945,0.008304506671672818,0.0042084172557361535
