Iteration,r,Q,a1,h1,w1,a2,e2,d2,h2,w2,N1_0.1,N1_0.2,N1_0.3,N1_0.4,N1_0.5,N2_0.1,N2_0.2,N2_0.3,N2_0.4,N2_0.5,N3_0.1,N3_0.2,N3_0.3,N3_0.4,N3_0.5
1,0.14481301458318285,2.2845888938505047e-7,3.351646310616839,4.104847671205773e-6,1.8299380152702065,18.532657449399927,0.11650441482091686,0.015882094865496865,0.18976668677033667,1.5857692799308543,331388.0179759057,241498.20492272408,222787.86306669444,213402.1151962009,226267.3637811419,0.05696435577867496,0.10851233917560846,0.1318110415756006,0.13841354319314023,0.09475929738686506,0.002539594332648275,0.003983606555924237,0.00686708642827695,0.004734838646387626,0.007044234124822257
2,0.15935550961524736,2.1656744488901873e-7,4.326113461316058,4.143479995411634e-6,1.7608451746852767,22.470230057824025,0.0780573676499316,0.025935266920717816,0.1649589105121833,1.981717430230305,354699.4643048778,234671.84970807153,227180.35843079942,218120.65846116008,226526.41553569614,0.048303456078768264,0.07347712660394239,0.09617162430045825,0.08600472944920311,0.1356150644803425,0.004000322332892702,0.005552098776178117,0.007814935401989902,0.008035517096974441,0.0051314885432535255
3,0.14241225386471945,1.828486119473506e-7,4.940765951764855,4.191145023579418e-6,2.0066417685053284,26.249915035091902,0.08806479646007892,0.026826613859773484,0.19075440758903073,10.734755344615191,376076.0059049822,252853.55479270054,227634.26155244623,240468.5360096202,229796.1288396505,0.0507789927397862,0.07212123594195852,0.059158045560901956,0.06664814763638306,0.1151013527189455,0.003744063386830926,0.004269396111859427,0.0077324196834148195,0.006843269925610726,0.00401542726628778
4,0.16674318472720445,2.0728117149518676e-7,2.829388669173935,3.578923186707861e-6,2.5172533592528548,48.85844329198479,0.05897180009719767,0.029386850537429607,0.16304754140677277,16.088833588108105,293101.22483769356,239147.04238759566,225032.55090691545,203207.4281565411,223544.12355094406,0.042380300092410686,0.15923376690083663,0.15054381230418806,0.1560977216836292,0.128385336778714,0.005416004333607512,0.002350317057585363,0.006512646590253188,0.006043686248651475,0.005993410873752101
5,0.17022285512748783,2.1444197361709126e-7,4.883376183398704,4.205089459537832e-6,2.2248230684586043,23.792103441260824,0.08254883949229892,0.0236064735095071,0.22112361357923102,2.9645741962736976,330500.79977745964,241888.56994896123,217182.00441067875,210586.96708047795,217150.86413654176,0.07761532655701849,0.14821854132107254,0.1761731908753588,0.07641600885486392,0.1824699356008755,0.003302388979516958,0.003583738531659059,0.004841090450290279,0.008366300716068661,0.004149017530295993
6,0.15787454729422712,2.1201025308378198e-7,4.1468974541459,4.038548013434411e-6,2.451310683773452,22.372120616856005,0.07050715544254063,0.024053674638966988,0.14967781995855053,0.4453807548969561,375827.4404506007,237022.73240110296,213546.63156347568,205571.20690726067,225712.42461266907,0.038792694005296315,0.09659685297440601,0.15009217028621352,0.15037162486614639,0.14522471080606777,0.004031554758830063,0.005143754947010279,0.006651798219912041,0.0057067326010612615,0.006740810064188242
7,0.15170242724062016,2.0156556691241815e-7,7.745565607636899,4.501062161984932e-6,3.00100762571479,15.275220939038473,0.10846190017855185,0.032434949844723573,0.19913039944775363,1.679245123898575,436604.84607430076,257308.96782040477,220049.75211421069,246758.92130016908,227040.8123493678,0.09496124903432761,0.09481602593970044,0.10073311801709592,0.059253651611633346,0.11663570177647979,0.0020738033221655914,0.004449007065888063,0.007016657898719277,0.008090047732358949,0.004897119612276617
8,0.12817966325103575,1.828534070622289e-7,2.7151158014537393,3.3325571175809687e-6,2.7445244558125705,43.363993846978566,0.065253835610903907,0.024980131793889613,0.1420893665063039,7.4977809177975,303059.93426412536,219132.83802936977,228459.54078217523,219634.99391916834,228981.13859707623,0.010264368780623007,0.06240751695939311,0.13004273727695112,0.10773508109837698,0.15301692188729746,0.0072271054135487215,0.005387182809733718,0.006151086769727802,0.006408767891356976,0.004474779173895169
9,0.18230908332690932,1.8908912182905792e-7,8.678260508168796,4.46964247593704e-6,1.9101971092766492,18.26502908548477,0.07340708265975159,0.027223855987454443,0.13780790880453986,2.5508980438038025,359839.1205318759,209199.27621068736,191094.9028978619,192073.9878659738,221612.72388192764,0.09640516615748958,0.10701086288872072,0.09177993576554833,0.07604132569030049,0.15547152037619866,0.0020088496668895514,0.0037548161614238923,0.007753157110459363,0.0063900231779708576,0.00391959153486117
10,0.1514491574456881,1.8531352595539957e-7,4.5430503710625665,4.161885901661132e-6,2.2762641464174305,23.608537019010306,0.07494039592592061,0.02297272687800762,0.17613565668544626,6.61547868303297,380843.89174348663,232633.80342092967,230548.2172123341,225749.91580516665,229492.77221603174,0.06870015097788343,0.10802962964653214,0.1204772381541461,0.08450365169058116,0.09893276138327495,0.0035611882507931725,0.004859378136458682,0.007300289372554191,0.007220129474467199,0.007941030178636125
11,0.1465470707302554,1.9202674804711286e-7,6.145608072924034,4.456215255897672e-6,2.1005763116875147,17.753958731227605,0.11721516933993723,0.03440155369263997,0.23703032124975712,5.620017637780195,409907.25888682087,277849.888862707,254581.43332178367,278313.12084865535,228122.43976823537,0.08906545960980732,0.0858125640003597,0.08877930722509089,0.05591443300958517,0.11385185893333309,0.002357424659975479,0.004455377945879723,0.0062913193856879625,0.007884209122432768,0.004216759858090612
12,0.13377368070375578,1.9411687937989745e-7,2.870952405858723,3.70387920924313e-6,2.3269729735663254,36.610319199662186,0.07720612956619838,0.02571810061182802,0.2053899066688955,7.997900607464276,351546.78189909825,256391.29074653768,245194.18828581247,224895.17142842239,223863.89554358428,0.030454527041773198,0.0793442906655075,0.08652415431937455,0.0768530311539512,0.1296618458592996,0.003696871726149415,0.003942564780230254,0.007201255901708799,0.007257444063636764,0.004021493782591418
13,0.1720193207310579,2.1186089384228147e-7,4.820426686780244,4.14777692457218e-6,1.7548955302742588,25.06796820282281,0.0678181310406958,0.024178338413721943,0.10297958383656802,11.54434881019125,350185.23016989144,212837.46317615727,230758.79404281176,217249.16178810917,210486.80730843023,0.04156240414793304,0.08575216933100299,0.12686104206362314,0.11103577990562201,0.13611074092212838,0.003788954229905493,0.004032878601952171,0.0063827103791748736,0.006134488223852726,0.004436437885244731
14,0.16788015706516055,2.0506331969054044e-7,3.2474485693355315,3.7588131303447974e-6,2.5545604795987886,37.28443024007586,0.06369080319630324,0.02006075074500215,0.18128244305795518,8.948278031227835,298540.0530517589,230563.11083255027,225137.56207649765,184225.64242496016,215425.60531056614,0.054372329394052475,0.18041205083946538,0.15361214014398242,0.12486959787216989,0.2072076558972534,0.003889449594795883,0.0029761873320364052,0.0068536224495210915,0.0072610331872168055,0.0046509067775960585
15,0.14368578806252993,2.0062125199108923e-7,3.9024133874120923,4.072117902583622e-6,1.5816849459795659,19.637012139229572,0.0757737043586389,0.023965749106223816,0.13537889387021548,1.0228522278218661,375152.47264897916,255599.21760226233,256488.04283976989,235686.93833905074,228264.58495022208,0.03558959485545423,0.08537328263346922,0.06931574642424884,0.11648328384097545,0.1616372490575384,0.005064637268371676,0.005765403951702969,0.012399049975089949,0.007176566860665648,0.005886031659257602
16,0.1557159202708473,2.2916154005826186e-7,4.055187719361637,4.083506099003452e-6,1.980695448240738,23.16498687117232,0.09743225759328658,0.02689361329876042,0.24350141651643753,1.0075520906440718,302218.01876389945,230787.50547083074,210755.0291377363,202683.86738737646,214185.28282461155,0.064136594432623,0.11553924476769185,0.08167241648351951,0.07953039980527098,0.09931409906953925,0.0032890320057116134,0.0038424258987717337,0.008406651228089172,0.007031051108101276,0.006210784974682278
17,0.1819701326958529,2.031265814763384e-7,4.808752103943267,4.383879966183322e-6,1.0057621421218605,17.46096264603806,0.09859418489901337,0.02584051238273437,0.16228773360413148,2.193119776931861,338222.2456005888,234953.44302895578,214584.9135516022,215987.8896738618,216287.15026811894,0.11200465289536446,0.1213605886735709,0.18288985587642081,0.13323595153135426,0.12160754932376272,0.0019129384828615776,0.0033888640835074294,0.005286838528477236,0.005523994639007681,0.006387294333499239
18,0.15334691823342061,2.0093974474686444e-7,4.03921849475463,4.1427801269475746e-6,1.860409444635882,23.14360471510542,0.08959097895061535,0.0223709270609457,0.21054734016722554,2.1859530398684135,346106.01435780316,250430.95886371538,234480.84260409942,232263.15170186496,218254.95820221843,0.06929996300405124,0.12775699329487053,0.1422563150540668,0.06086114976323091,0.12121188619940172,0.002716350839990283,0.0034338124628296497,0.005901344521088989,0.007412152148535737,0.005735417442773509
19,0.1741309785218887,2.185316674988085e-7,3.8992347284185436,4.158073453369589e-6,1.2499481680811348,25.476123298353002,0.0798662420547999,0.02379810210187722,0.2366725444668295,0.5881192183431636,318248.41956220963,253451.3854495002,217904.2256717204,203252.5772977064,219911.1564013407,0.08735074308280712,0.16505938028118908,0.11075237987529807,0.104149381464025,0.19837183627367155,0.004112920838430207,0.0034672408888568214,0.006268743964373467,0.005789715768919809,0.0038684474923231663
20,0.1577986058946554,1.9128825460636284e-7,5.28632332249767,4.300447924292788e-6,2.536623626815717,20.153229134736787,0.07972684758907159,0.020031080666339723,0.20138612582883988,6.324012420154611,418638.1949895899,292613.638821017,220518.42505865463,218770.4226509431,228607.903298274,0.09525782781432698,0.15577160530915457,0.1617925245934886,0.16300044639451047,0.1738858072668465,0.004340764902301068,0.0034523419098167188,0.007241157815312285,0.005874347363235047,0.005065386671740492
21,0.16545870453237702,1.8640329497950717e-7,4.152019899676432,3.957412201309397e-6,2.5392431270019036,28.625855100528064,0.07684115134281838,0.032230166030806806,0.146675440331277,11.836321604547374,273814.2559331748,205257.98536240176,189107.0772784444,194358.53978843355,229376.4918326209,0.03893137059089552,0.10261072160644036,0.14466438609252713,0.1766333468482334,0.20934624885099917,0.0041479923869750905,0.004973696659935654,0.007884963063075599,0.006325858884288162,0.004584155697363678
22,0.1514150585369372,2.1697671427078486e-7,2.7769345534401664,3.643154915124994e-6,3.3569956390301408,45.13890724559045,0.07707090600134421,0.02845931678430771,0.20616056277447412,17.663248104472586,337686.95923693565,259228.0923272602,237366.20491211172,241339.28030757443,220272.33757910668,0.036364925814304803,0.13875350845065806,0.15266735653895455,0.06608548397381767,0.20126489199908124,0.003712604152052492,0.00207992792671432,0.004670983765927947,0.007984543970559706,0.004263234656241242
23,0.15656667093003063,2.0753224079104524e-7,4.044854094917839,4.074574103242655e-6,1.364253986248754,22.598062189203326,0.0672903084212896,0.028421984184888283,0.17698048814189404,0.8039338813706243,356845.51027151424,254293.1375869309,214779.18693881494,216723.25028835094,228791.60441206855,0.0539924601905676,0.10969490853432612,0.1154609532495021,0.1388711674544837,0.21710531519343895,0.006178824276777614,0.00506592392577709,0.009205650994733095,0.007238500580095022,0.0053135377555960225
24,0.1811132941774396,2.2592516607200834e-7,3.3128163682828307,3.7897962478691233e-6,1.7694685703471051,38.14152199676908,0.05882144436731159,0.0231388241736528,0.11394641999803565,17.767442286350875,270537.0762882881,214011.06445904617,216957.61533504314,196561.86806024905,220346.46863274617,0.04214023931470756,0.13107938725385104,0.197417421648963,0.0824916473063695,0.17961650692572037,0.0035082016766753753,0.0028926772956350093,0.004973045458654577,0.007775767922832104,0.004519451526070077
25,0.16034514128317146,2.1464999357492465e-7,3.3814413458278176,3.983969966575163e-6,1.6705776514468098,27.97907403895436,0.08451664362316143,0.029479383986450586,0.21078376336305105,4.167604896160213,312180.48961670237,250652.10562212698,224488.24823494765,219117.4828981691,231308.56401420166,0.05149402046789626,0.13829429520672065,0.11304172037633965,0.1461151560379688,0.17206532445052247,0.004300784449609597,0.002973990298259375,0.006261508873850721,0.005214354489259159,0.0036628467392255623
26,0.16326556668327963,1.9411476835009134e-7,6.623864788519205,4.487097344867093e-6,1.3511073531612723,17.326468974041397,0.09368344461903737,0.027489281299267285,0.19233043865015834,1.183245026535382,368290.445937966,289752.47558126965,229000.27916191798,250989.91523534482,217155.0197122961,0.0917210171648937,0.15895302232996583,0.10380255079047175,0.06972791954461892,0.090307575552072,0.0025046225741575364,0.0019060297400492975,0.006035512211469004,0.00659694034356611,0.006038002318789238
27,0.1612051053965773,2.0922738757204063e-7,8.888311984104085,4.380160787190133e-6,3.198761700270114,22.070579310893663,0.06547474918385633,0.025507464806466918,0.13069408964495452,5.858062326787918,436663.8584689696,243094.92484051065,239190.24747913945,215104.0636358651,227217.52017370317,0.05939349281999778,0.061984584261804684,0.06907381589355266,0.06558882128987797,0.08525905250149597,0.0023956064002308547,0.0037261547423732277,0.007766468379165985,0.0064134022294725914,0.006414036136118387
28,0.16612285326438211,1.975123334839377e-7,4.456214209180585,4.062657343833067e-6,2.566880384563809,28.21777650228449,0.07509215642915004,0.02529790352300037,0.17474780697666253,9.592617405621949,309595.6339024811,221551.85110037052,215282.0376998215,214032.43775356628,219826.4288664208,0.05535417614798626,0.10843093309083358,0.16058998690154977,0.06106888142363209,0.1777929021338055,0.003202786533402349,0.0038930210418819133,0.0055059911433019085,0.008685436246721792,0.003988514922050843
29,0.16926386245929276,2.1775648237447632e-7,8.754353035319843,4.557787358611457e-6,2.1615922202591964,18.658754191157417,0.0971217019199349,0.02678462497540018,0.2291565161104804,8.914795288698633,390180.8622756259,243153.9108946069,219085.58194593154,207118.85043381024,218605.07060159004,0.11978481233807202,0.10750680968266361,0.09508680989374035,0.06906819163905265,0.09175414296998091,0.002604245511456374,0.004264372311922228,0.006439513874182623,0.005948598256690466,0.005432858847239599
30,0.18019594705010863,1.9514855520097016e-7,4.795079331608862,4.0746113524950895e-6,2.636922937576087,24.187955019540034,0.07021575717882592,0.030072454131856996,0.166007449056982,3.9819129973516456,297160.03414043144,205997.75617179778,200826.46281994059,172908.6754178928,215812.5401374855,0.0560576377696703,0.1666377526544889,0.22628159386473543,0.12354953037007461,0.23594055993920274,0.0038744298486641064,0.0038741777178443737,0.00646802380569063,0.008455005199145193,0.005244687000077222
31,0.1490622732941119,2.2406305923254312e-7,2.8228174751773714,3.7950275859316995e-6,1.7946956507065066,30.509246860010833,0.08587141573209651,0.021986036855800414,0.2378560735295106,2.987365062315576,314951.81849561335,255760.4203585005,228373.7796182004,226461.91915281324,217355.52201836984,0.053223836909937254,0.151819268078667,0.0923274542811066,0.0823794163275502,0.13991537380701025,0.00316942527887643,0.0029370864142097422,0.007752908720654046,0.007641372631424337,0.005206273916235772
32,0.15513602349504177,2.0581906655009022e-7,3.9261505153013325,3.85211697050027e-6,2.7650553834455365,34.590411426765804,0.07291862025057222,0.026384156743476023,0.21416368971384744,3.9713226579192105,292366.5943186451,226512.27791018147,182732.92870970006,203862.0863573945,218693.27483835284,0.038143640441119356,0.10434757749672795,0.14962486423271784,0.05819652355667272,0.17947048914197067,0.00463640193287392,0.004172441871754568,0.004556200491038956,0.00878369115929088,0.003947420985130447
33,0.13193647270530914,1.9955095767072716e-7,3.5287264000205,4.024780559176887e-6,2.148147008008794,26.19341907494016,0.09485333151525195,0.020778050052276297,0.22250817052179633,2.4963463142474582,366093.60141426936,264159.9414423509,260210.6259578169,301700.5596726935,233194.0177765849,0.04259848678502231,0.08137409159361546,0.054886078004518925,0.03698121815501219,0.06809413130607533,0.0032245741351441125,0.003550735970358587,0.007606722512406418,0.009588565524152073,0.005808292697985191
34,0.17167779699172545,2.1796996365490542e-7,4.035485379794605,4.083359841823454e-6,1.9350839597996456,26.554489454206657,0.07559544423073043,0.02956757349913486,0.14920168599670638,9.552701471553611,332836.494898147,239851.29789629453,236230.88046387193,216579.2703898902,216663.32188275357,0.04857044987751688,0.13458717819766625,0.07255015542932312,0.07398707495115864,0.12733614329158727,0.003715973632335856,0.002470872593700505,0.009112656428919407,0.007820050198660175,0.00583118470847622
35,0.18154194233073756,1.9172943931272437e-7,7.0869415194242995,4.463338780989726e-6,2.246677291375325,16.33152376294417,0.0774957689404258,0.030981347784284897,0.1287071095296323,2.659971652181081,414493.06553991995,241827.43407136542,211228.36590409503,231100.94719951757,210965.31756640552,0.08299256852611632,0.1363487341360585,0.15616085573947258,0.12704982788753938,0.1287136209015588,0.002477320689903934,0.0032312347427896726,0.007677124191121501,0.006514868162027199,0.006242239186672928
